beg_logtime	end_logtime	fmillsecond	smillsecond	custid	funcid	messid	nodeid	netaddr	orgid	operway	fundid	inputtype	logdate	core
20170217-110534	20170217-110534	-402612145	-402612129	2XXXXX0	6410530	0000011904758FFD1C7FF87F	1002	0XXXXXXXXX5	3XX4	F	3XXXX7	NULL	20170217	1
20170217-110534	20170217-110534	-402612161	-402612161	1XXXXX6	6410510	00000121044EAA311C7FF87E	1002	0XXXXXXXXXC	3XX4	F	1XXXX6	NULL	20170217	1
20170217-110534	20170217-110534	-402612441	-402612379	5XXXXX5	6410503	0000021003D15A201C7FF87E	1002	7XXXXXXXXXD	4XX1	F	1XXXX4	NULL	20170217	1
20170217-110534	20170217-110534	-402612660	-402612660	2XXXXX4	6410503	000002170066C4B01C7FF87E	1002	DXXXXXXXXXC	4XX1	F	2XXXX1	NULL	20170217	1
20170217-110534	20170217-110534	-402612722	-402612301	9XXXXX4	6411520	0000021904CDC95E1C7FF87E	1002	CXXXXXXXXX5	2XX1	F	NULL	NULL	20170217	1
20170217-110534	20170217-110534	-402612753	-402612675	2XXXXX7	6410530	0000021804FA1FCC1C7FF87E	1002	DXXXXXXXXX5	2XX2	F	1XXXX0	NULL	20170217	1
20170217-110535	20170217-110535	-402611131	-402611115	2XXXXX5	6410421	0000021404F9FDFF1C7FF87F	1002	0XXXXXXXXXC	4XX1	F	9XXXX0	NULL	20170217	1
20170217-110535	20170217-110535	148784580	148784580	1XXXXX8	6410530	0000021305CC19EB1C7FF87F	1003	2XXXXXXXXXE	3XX6	F	NULL	NULL	20170217	1
20170217-110535	20170217-110535	1585346718	1585346749	1XXXXX7	6410530	000002160425AC901C7FF87F	1001	4XXXXXXXXX9	3XX4	F	2XXXX4	NULL	20170217	1
20170217-110535	20170217-110535	1585346889	1585346889	2XXXXX9	6410503	0000021804FA20791C7FF87F	1001	AXXXXXXXXX9	4XX1	F	2XXXX7	NULL	20170217	1
